receipt_no,completion_date,transaction_details,hour,period,direction,amount
TKELAA535O,2025-11-14 18:10:00,Payment small business,18,evening,expense,30
TKELAA5EMK,2025-11-14 18:39:00,Payment small business,18,evening,expense,10
TKELAA5G4Q,2025-11-14 18:39:00,Payment small business,18,evening,expense,100
TKELAA5GXE,2025-11-14 19:07:00,Bundle purchase,19,evening,expense,10
TKELAA630Y,2025-11-14 20:36:00,M-Shwari Withdraw,20,evening,income,3500
TKELAA6327,2025-11-14 20:38:00,Send money charges,20,evening,expense,53
TKELAA6327,2025-11-14 20:38:00,Payment small business,20,evening,expense,3200
TKELAA606A,2025-11-14 20:45:00,Payment small business,20,evening,expense,20
TKELAA5XAZ,2025-11-14 20:54:00,Payment small business,20,evening,expense,20
TKELAA5XFD,2025-11-14 21:02:00,Payment small business,21,night,expense,40
TKELAA66JL,2025-11-14 21:06:00,Merchant payment,21,night,expense,30
TKFLAA6IJ3,2025-11-15 07:06:00,Payment small business,7,morning,expense,20
TKFLAA6NBQ,2025-11-15 07:28:00,Payment small business,7,morning,expense,80
TKFLAA6PE5,2025-11-15 08:22:00,Merchant payment,8,morning,expense,30
TKFLAA6JCW,2025-11-15 08:29:00,Payment small business,8,morning,expense,50
TKFLAA6JNH,2025-11-15 08:51:00,Payment small business,8,morning,expense,20
TKFLAA8FYL,2025-11-15 18:03:00,M-Shwari Withdraw,18,evening,income,200
TKFLAA8HRO,2025-11-15 18:16:00,Payment small business,18,evening,expense,100
TKFLAA8ES5,2025-11-15 18:17:00,Payment small business,18,evening,expense,50
TKFLAA9093,2025-11-15 20:13:00,Payment small business,20,evening,expense,60
TKFLAA8XFL,2025-11-15 20:20:00,Bundle purchase,20,evening,expense,5
TKFLAA9552,2025-11-15 20:30:00,Airtime Purchase,20,evening,expense,10
TKFLAA94A5,2025-11-15 21:05:00,M-Shwari Withdraw,21,night,income,100
TKFLAA97EW,2025-11-15 21:11:00,Payment small business,21,night,expense,20
TKFLAA9FS3,2025-11-15 21:52:00,Merchant payment,21,night,expense,50
TKFLAA9EBR,2025-11-15 21:57:00,Payment small business,21,night,expense,10
TKGLAAA9RR,2025-11-16 11:54:00,Bundle purchase,11,morning,expense,5
TKGLAAAE5Q,2025-11-16 11:55:00,M-Shwari Withdraw,11,morning,income,200
TKGLAAAD5I,2025-11-16 12:27:00,Payment small business,12,morning,expense,50
TKGLAAAZLH,2025-11-16 15:24:00,Send money charges,15,afternoon,expense,7
TKGLAAAZLH,2025-11-16 15:24:00,Payment small business,15,afternoon,expense,150
TKGLAAB2NP,2025-11-16 16:35:00,Bundle purchase,16,afternoon,expense,10
TKGLAAB7M0,2025-11-16 17:13:00,M-Shwari Withdraw,17,evening,income,100
TKGLAABAJK,2025-11-16 17:14:00,Send money,17,evening,expense,10
TKGLAAC9GU,2025-11-16 21:34:00,Payment small business,21,night,expense,30
TKGLAACAYQ,2025-11-16 21:36:00,Payment small business,21,night,expense,40
TKGLAAC4KE,2025-11-16 21:38:00,Payment small business,21,night,expense,20
TKHLAACIXM,2025-11-17 06:36:00,M-Shwari Withdraw,6,morning,income,200
TKHLAACIGQ,2025-11-17 06:44:00,Payment small business,6,morning,expense,20
TKHLAACKMS,2025-11-17 07:02:00,Airtime Purchase,7,morning,expense,5
TKHLAACQFJ,2025-11-17 07:16:00,Merchant payment,7,morning,expense,100
TKHLAACT6W,2025-11-17 09:06:00,Payment small business,9,morning,expense,50
TKHLAACROW,2025-11-17 09:07:00,Payment small business,9,morning,expense,10
TKHLAAEJDJ,2025-11-17 18:10:00,M-Shwari Withdraw,18,evening,income,200
TKHLAAEI82,2025-11-17 18:21:00,Payment small business,18,evening,expense,40
TKHLAAEMYP,2025-11-17 19:14:00,Payment small business,19,evening,expense,100
TKHLAAEU8Q,2025-11-17 19:15:00,Payment small business,19,evening,expense,20
TKHLAAEZGC,2025-11-17 20:24:00,M-Shwari Withdraw,20,evening,income,100
TKHLAAEXZ3,2025-11-17 20:25:00,Merchant payment,20,evening,expense,100
TKHLAAF5KM,2025-11-17 20:47:00,Payment small business,20,evening,expense,35
TKHLAAF80V,2025-11-17 21:06:00,Bundle purchase,21,night,expense,10
TKILAAFZ7Z,2025-11-18 09:55:00,Bundle purchase,9,morning,expense,5
TKILAAGAHX,2025-11-18 10:31:00,M-Shwari Withdraw,10,morning,income,200
